receiving_yards,depth,season,targets,team_passing_yards,team_pass_td,team_receptions,team_receiving_yards,height,weight,age,reception_td
17.0,1.0,2017,1.0,3716,22,316,3716,74.0,210.0,24,0.0
754.0,1.0,2018,95.0,3747,29,344,3747,74.0,210.0,25,4.0
1147.0,1.0,2019,154.0,3573,20,371,3573,74.0,210.0,26,7.0
1250.0,1.0,2020,151.0,3925,28,402,3925,74.0,210.0,27,6.0
412.0,1.0,2021,67.0,3635,18,332,3635,74.0,210.0,28,1.0
339.0,1.0,2022,52.0,3506,19,347,3506,74.0,210.0,29,3.0
280.0,1.0,2023,49.0,3421,13,323,3414,74.0,210.0,30,0.0
367.0,2.0,2012,48.0,3298,23,287,3298,75.0,218.0,22,3.0
1423.0,1.0,2013,151.0,4450,39,373,4450,75.0,218.0,23,8.0
1133.0,1.0,2014,145.0,4035,32,396,4035,75.0,218.0,24,10.0
807.0,1.0,2015,94.0,3843,25,334,3843,75.0,218.0,25,6.0
821.0,1.0,2016,94.0,4139,21,347,4139,75.0,218.0,26,2.0
793.0,1.0,2017,122.0,3967,40,341,3967,75.0,218.0,27,9.0
840.0,1.0,2018,92.0,4524,30,422,4527,75.0,218.0,28,6.0
490.0,1.0,2019,74.0,4063,27,391,4063,75.0,218.0,29,4.0
115.0,1.0,2020,13.0,3728,23,334,3728,75.0,218.0,30,1.0
71.0,3.0,2017,13.0,3979,35,340,3979,74.0,215.0,23,0.0
1005.0,1.0,2018,107.0,3885,23,356,3885,73.0,211.0,24,7.0
1189.0,1.0,2019,119.0,4902,30,388,4902,73.0,211.0,25,8.0
1114.0,1.0,2020,130.0,4511,28,413,4511,73.0,211.0,26,5.0
865.0,1.0,2021,104.0,4963,42,444,4949,73.0,211.0,27,8.0
1160.0,1.0,2022,132.0,3710,19,335,3710,73.0,211.0,28,9.0
1252.0,1.0,2023,130.0,4011,29,355,4011,73.0,211.0,29,5.0
45.0,2.0,2021,9.0,4526,39,402,4526,69.0,212.0,22,0.0
210.0,2.0,2022,26.0,3890,28,364,3896,69.0,212.0,23,1.0
0.0,3.0,2023,2.0,3882,19,355,3882,69.0,212.0,24,0.0
916.0,2.0,2021,121.0,3884,25,396,3874,72.0,202.0,22,5.0
1175.0,1.0,2022,146.0,4444,32,383,4430,72.0,202.0,23,6.0
1515.0,1.0,2023,165.0,4606,33,408,4606,72.0,202.0,24,11.0
18.0,3.0,2012,4.0,4671,39,402,4664,72.0,200.0,27,0.0
200.0,2.0,2013,29.0,5572,57,461,5572,72.0,200.0,28,3.0
47.0,2.0,2014,15.0,4779,41,399,4779,72.0,200.0,29,0.0
72.0,2.0,2015,22.0,4216,22,368,4216,72.0,200.0,30,2.0
11.0,3.0,2012,2.0,4992,32,434,4992,76.0,210.0,24,0.0
120.0,2.0,2017,23.0,3065,18,288,3065,76.0,210.0,29,3.0
162.0,2.0,2018,24.0,3052,19,270,3052,76.0,210.0,30,0.0
1598.0,1.0,2012,163.0,4046,22,354,4046,75.0,229.0,31,4.0
1407.0,1.0,2013,181.0,4183,25,371,4183,75.0,229.0,32,6.0
936.0,1.0,2014,147.0,3460,24,295,3460,75.0,229.0,33,4.0
